,AtBat,Hits,HmRun,Runs,RBI,Walks,Years,CAtBat,CHits,CHmRun,CRuns,CRBI,CWalks,PutOuts,Assists,Errors,Salary
Jim Dwyer,160,39,8,18,31,22,14,2128,543,56,304,268,298,33,3,0,275
Billy Hatcher,419,108,6,55,36,22,3,591,149,8,80,46,31,226,7,4,110
Pat Sheridan,236,56,6,41,19,21,5,1257,329,24,166,125,105,172,1,4,190
Ken Oberkfell,503,136,5,62,48,83,10,3423,970,20,408,303,414,65,258,8,725
Alfredo Griffin,594,169,4,74,51,35,11,4408,1133,19,501,336,194,282,421,25,750
Len Matuszek,199,52,9,26,28,21,6,805,191,30,113,119,87,235,22,5,265
Mookie Wilson,381,110,9,61,45,32,7,3015,834,40,451,249,168,228,7,5,800
Juan Samuel,591,157,16,90,78,26,4,2020,541,52,310,226,91,290,440,25,640
Bill Doran,550,152,6,92,37,81,5,2308,633,32,349,182,308,262,329,16,625
Glenn Braggs,215,51,4,19,18,11,1,215,51,4,19,18,11,116,5,12,70
Carmen Castillo,205,57,8,34,32,9,5,756,192,32,117,107,51,58,4,4,247.5
Wayne Tolleson,475,126,3,61,43,52,6,1700,433,7,217,93,146,37,113,7,385
Steve Balboni,512,117,29,54,88,43,6,1750,412,100,204,276,155,1236,98,18,100
Harold Reynolds,445,99,1,46,24,29,4,618,129,1,72,31,48,278,415,16,87.5
John Shelby,404,92,11,54,49,18,6,1354,325,30,188,135,63,222,5,5,300
Paul Molitor,437,123,9,62,55,40,9,4139,1203,79,676,390,364,82,170,15,1260
Dale Murphy,614,163,29,89,83,75,11,5017,1388,266,813,822,617,303,6,6,1900
Jim Rice,618,200,20,98,110,62,13,7127,2163,351,1104,1289,564,330,16,8,2412.5
Dan Gladden,351,97,4,55,29,39,4,1258,353,16,196,110,117,226,7,3,210
Chris Brown,416,132,7,57,49,33,3,932,273,24,113,121,80,73,177,18,215
Ozzie Guillen,547,137,2,58,47,12,2,1038,271,3,129,80,24,261,459,22,175
Ronn Reynolds,126,27,3,8,10,5,4,239,49,3,16,13,14,190,2,9,190
Larry Sheets,338,92,18,42,60,21,3,682,185,36,88,112,50,0,0,0,145
Cory Snyder,416,113,24,58,69,16,1,416,113,24,58,69,16,203,70,10,90
Jeffrey Leonard,341,95,6,48,42,20,10,2964,808,81,379,428,221,158,4,5,100
Rick Burleson,271,77,5,35,29,33,12,4933,1358,48,630,435,403,62,90,3,450
Dwayne Murphy,329,83,9,50,39,56,9,3828,948,145,575,528,635,276,6,2,600
Andre Thornton,401,92,17,49,66,65,13,5206,1332,253,784,890,866,0,0,0,1100
Tito Landrum,205,43,2,24,17,20,7,854,219,12,105,99,71,131,6,1,286.667
BillyJo Robidoux,181,41,1,15,21,33,2,232,50,4,20,29,45,326,29,5,67.5
Cal Ripken,627,177,25,98,81,70,6,3210,927,133,529,472,313,240,482,13,1350
Tommy Herr,559,141,2,48,61,73,8,3162,874,16,421,349,359,352,414,9,925
Ron Hassey,341,110,9,45,49,46,9,2331,658,50,249,322,274,251,9,4,560
Mike Scioscia,374,94,5,36,26,62,7,1968,519,26,181,199,288,756,64,15,875
Kevin McReynolds,560,161,26,89,96,66,4,1789,470,65,233,260,155,332,9,8,625
Gary Matthews,370,96,21,49,46,60,15,6986,1972,231,1070,955,921,137,5,9,733.333
Garth Iorg,327,85,3,30,44,20,8,2140,568,16,216,208,93,91,185,12,362.5
Vance Law,360,81,5,37,44,37,7,2268,566,41,279,257,246,170,284,3,525
Mariano Duncan,407,93,8,47,30,30,2,969,230,14,121,69,68,172,317,25,150
Carney Lansford,591,168,19,80,72,39,9,4478,1307,113,634,563,319,67,147,4,1200
Ozzie Smith,514,144,0,67,54,79,9,4739,1169,13,583,374,528,229,453,15,1940
Dale Sveum,317,78,7,35,35,32,1,317,78,7,35,35,32,45,122,26,70
Ken Griffey,490,150,21,69,58,35,14,6126,1839,121,983,707,600,96,5,3,1000
Jody Davis,528,132,21,61,74,41,6,2641,671,97,273,383,226,885,105,8,1008.333
Kurt Stillwell,279,64,0,31,26,30,1,279,64,0,31,26,30,107,205,16,75
Robby Thompson,549,149,7,73,47,42,1,549,149,7,73,47,42,255,450,17,140
Willie Randolph,492,136,5,76,50,94,12,5511,1511,39,897,451,875,313,381,20,875
Jack Howell,151,41,4,26,21,19,2,288,68,9,45,39,35,28,56,2,95
Phil Bradley,526,163,12,88,50,77,4,1556,470,38,245,167,174,250,11,1,750
Curt Ford,214,53,2,30,29,23,2,226,59,2,32,32,27,109,7,3,70
Denny Walling,382,119,13,54,58,36,12,2133,594,41,287,294,227,59,156,9,595
Steve Lombardozzi,453,103,8,53,33,52,2,507,123,8,63,39,58,289,407,6,105
Jeff Reed,165,39,2,13,9,16,3,196,44,2,18,10,18,332,19,2,75
Larry Parrish,464,128,28,67,94,52,13,5829,1552,210,740,840,452,0,0,0,587.5
Jesse Barfield,589,170,40,107,108,69,6,2325,634,128,371,376,238,368,20,3,1237.5
Lee Lacy,491,141,11,77,47,37,15,4291,1240,84,615,430,340,239,8,2,525
Curt Wilkerson,236,56,0,27,15,11,4,1115,270,1,116,64,57,125,199,13,230
Kirby Puckett,680,223,31,119,96,34,3,1928,587,35,262,201,91,429,8,6,365
Mel Hall,442,131,18,68,77,33,6,1416,398,47,210,203,136,233,7,7,550
Mike Davis,489,131,19,77,55,34,7,2051,549,62,300,263,153,310,9,9,780
Terry Puhl,172,42,3,17,14,15,10,4086,1150,57,579,363,406,65,0,0,900
Andre Dawson,496,141,20,65,78,37,11,5628,1575,225,828,838,354,200,11,3,500
Wally Backman,387,124,1,67,27,36,7,1775,506,6,272,125,194,186,290,17,550
Terry Harper,265,68,8,26,30,29,7,1337,339,32,135,163,128,92,5,3,425
Rey Quinones,312,68,2,32,22,24,1,312,68,2,32,22,24,86,150,15,70
Kirk Gibson,441,118,28,84,86,68,8,2723,750,126,433,420,309,190,2,2,1300
Tom Brookens,281,76,3,42,25,20,8,2658,657,48,324,300,179,106,144,7,341.667
Frank White,566,154,22,76,84,43,14,6100,1583,131,743,693,300,316,439,10,750
Ruben Sierra,382,101,16,50,55,22,1,382,101,16,50,55,22,200,7,6,97.5
Scott Fletcher,530,159,3,82,50,47,6,1619,426,11,218,149,163,196,354,15,475
Rick Leach,246,76,5,35,39,13,6,912,234,12,102,96,80,44,0,1,250
Andres Thomas,323,81,6,26,32,8,2,341,86,6,32,34,8,143,290,19,75
John Cangelosi,438,103,2,65,32,71,2,440,103,2,67,32,71,276,7,9,100
Tom Foley,263,70,1,26,23,30,4,888,220,9,83,82,86,81,147,4,250
Chili Davis,526,146,13,71,70,84,6,2648,715,77,352,342,289,303,9,9,815
Rafael Ramirez,496,119,8,57,33,21,7,3358,882,36,365,280,165,155,371,29,875
Glenn Wilson,584,158,15,70,84,42,5,2358,636,58,265,316,134,331,20,4,662.5
Marty Barrett,625,179,4,94,60,65,5,1696,476,12,216,163,166,303,450,14,575
Ron Oester,523,135,8,52,44,52,9,3368,895,39,377,284,296,367,475,19,750
Jim Morrison,537,147,23,58,88,47,10,2744,730,97,302,351,174,92,257,20,277.5
Mark Salas,258,60,8,28,33,18,3,638,170,17,80,75,36,358,32,8,137
Harold Baines,570,169,21,72,88,38,7,3754,1077,140,492,589,263,295,15,5,950
Willie McGee,497,127,7,65,48,37,5,2703,806,32,379,311,138,325,9,3,700
Mike Easler,490,148,14,64,78,49,13,3400,1000,113,445,491,301,0,0,0,700
Rafael Santana,394,86,1,38,28,36,4,1089,267,3,94,71,76,203,369,16,250
Dick Schofield,458,114,13,67,57,48,4,1350,298,28,160,123,122,246,389,18,475
Harry Spilman,143,39,5,18,30,15,9,639,151,16,80,97,61,138,15,1,175
Reggie Jackson,419,101,18,65,58,92,20,9528,2510,548,1509,1659,1342,0,0,0,487.5
Larry Herndon,283,70,8,33,37,27,12,4479,1222,94,557,483,307,156,2,2,225
Lance Parrish,327,84,22,53,62,38,10,4273,1123,212,577,700,334,483,48,6,800
Willie Wilson,631,170,9,77,44,31,11,4908,1457,30,775,357,249,408,4,3,1000
Al Newman,185,37,1,23,8,21,2,214,42,1,30,9,24,76,127,7,70
Dave Henderson,388,103,15,59,47,39,6,2174,555,80,285,274,186,182,9,4,325
Scott Bradley,220,66,5,20,28,13,3,290,80,5,27,31,15,281,21,3,90
Tim Wallach,480,112,18,50,71,44,7,3031,771,110,338,406,239,94,270,16,750
Rob Deer,466,108,33,75,86,72,3,652,142,44,102,109,102,286,8,8,215
Pat Tabler,473,154,6,61,48,29,6,1966,566,29,250,252,178,846,84,9,580
Jim Gantner,497,136,7,58,38,26,11,3871,1066,40,450,367,241,304,347,10,850
Sid Bream,522,140,16,73,77,60,4,730,185,22,93,106,86,1320,166,17,200
John Russell,315,76,13,35,60,25,3,630,151,24,68,94,55,498,39,13,155
Damaso Garcia,424,119,6,57,46,13,9,3651,1046,32,461,301,112,224,286,8,850
Alex Trevino,202,53,4,31,26,27,9,1876,467,15,192,186,161,304,45,11,512.5
Donnie Hill,339,96,4,37,29,23,4,1064,290,11,123,108,55,104,213,9,275
Shawon Dunston,581,145,17,66,68,21,2,831,210,21,106,86,40,320,465,32,155
Jose Uribe,453,101,3,46,43,61,3,948,218,6,96,72,91,249,444,16,195
Carlton Fisk,457,101,14,42,63,22,17,6521,1767,281,1003,977,619,389,39,4,875
Eddie Milner,424,110,15,70,47,36,7,2130,544,38,335,174,258,292,6,3,490
George Hendrick,283,77,14,45,47,26,16,6840,1910,259,915,1067,546,144,6,5,700
Kevin Bass,591,184,20,83,79,38,5,1689,462,40,219,195,82,303,12,5,630
Chris Bando,254,68,2,28,26,22,6,999,236,21,108,117,118,359,30,4,305
Ed Romero,233,49,2,41,23,18,8,1350,336,7,166,122,106,102,132,10,375
Howard Johnson,220,54,10,30,39,31,5,1185,299,40,145,154,128,50,136,20,297.5
Randy Bush,357,96,7,50,45,39,5,1394,344,43,178,192,136,167,2,4,300
Doug DeCinces,512,131,26,69,96,52,14,5347,1397,221,712,815,548,119,216,12,850
